User_ID,Basketball,Yoga,Hiking,Cycling,Gym,Swimming,Dancing,Running,Music,Photography,Availability,Past Matches,User Score,Location,Nationality,Languages Spoken,Gender
29,2,5,2,1,2,5,1,3,1,2,"Mon, Thu, Sat, Fri, Sun","[921, 797, 615, 900]",5.0,Chiang Mai,Japan,"Japanese, English",Prefer not to say
30,2,4,3,2,5,4,5,5,3,2,"Sun, Tue, Sat, Fri, Mon","[86, 121, 446, 749]",4.2,Chiang Mai,Japan,"Japanese, English",Other
31,3,2,3,5,1,4,5,5,4,2,"Fri, Sat, Sun, Tue, Thu",[760],2.0,Ratchaburi,Russia,"Russian, English",Prefer not to say
32,5,1,1,2,4,5,1,2,4,2,"Fri, Wed","[803, 840, 187, 410, 320]",5.5,Chiang Mai,UK,English,Female
33,2,3,3,5,2,1,4,3,1,2,"Mon, Fri, Thu, Sun, Sat","[200, 198, 355, 600, 991]",2.5,Khon Kaen,India,"Hindi, English",Other
34,1,2,5,2,5,4,2,3,2,1,"Mon, Wed, Thu","[134, 116]",7.4,Khon Kaen,Netherlands,"Dutch, English",Female
35,1,5,5,3,2,4,5,2,3,4,"Tue, Sun","[111, 597, 293, 822, 466]",4.6,Udon Thani,South Korea,"Korean, English",Other
36,4,1,1,3,1,2,1,1,2,1,"Wed, Fri, Tue","[583, 572, 809, 735]",2.3,Lampang,Germany,"German, English",Other
37,4,5,2,5,3,2,2,2,3,3,"Sat, Wed","[262, 980, 988]",8.2,Khon Kaen,South Korea,"Korean, English",Male
38,4,5,3,2,4,4,5,4,1,5,"Mon, Fri, Sat","[358, 964, 262, 132, 587]",9.0,Khon Kaen,Canada,"English, French",Female
39,5,4,5,1,5,2,2,5,3,2,"Wed, Tue","[643, 651, 462, 871]",5.2,Rayong,Australia,English,Prefer not to say
40,2,1,1,1,1,5,3,3,2,4,"Sat, Tue, Sun, Fri, Wed","[811, 242, 73, 472]",1.4,Hat Yai,Russia,"Russian, English",Male
41,2,2,3,1,4,3,3,4,4,1,"Fri, Mon, Sun, Thu","[373, 572, 510]",1.3,Pattaya,Japan,"Japanese, English",Other
42,3,4,4,4,5,2,4,2,4,1,"Mon, Wed","[898, 433]",3.5,Nakhon Si Thammarat,Brazil,"Portuguese, English",Other
43,1,4,2,2,4,3,1,4,3,4,"Thu, Fri, Tue, Wed","[978, 36, 381, 312]",7.9,Nakhon Ratchasima,Sweden,"Swedish, English",Other
44,5,4,5,1,2,1,3,2,5,1,"Sun, Thu, Fri, Tue","[509, 82, 681, 635, 920]",9.1,Samut Prakan,France,"French, English",Other
45,1,3,1,5,3,1,4,4,3,3,"Mon, Sun","[710, 592, 759, 336]",5.5,Phuket,France,"French, English",Female
46,5,1,5,3,2,1,5,3,5,1,"Tue, Mon, Sun","[908, 19, 892, 254, 240]",9.1,Chiang Mai,Spain,"Spanish, English",Female
47,4,4,3,4,3,2,4,2,5,4,"Tue, Thu, Sun, Sat, Mon","[43, 214, 252, 500]",2.2,Bangkok,South Korea,"Korean, English",Other
48,1,1,5,2,1,3,5,1,1,4,"Thu, Wed, Sun","[91, 606, 613, 490]",5.2,Nakhon Ratchasima,China,"Mandarin, English",Male
49,2,1,5,3,3,3,4,4,2,4,"Fri, Sat, Tue, Thu","[651, 399, 149, 962]",8.9,Chonburi,Russia,"Russian, English",Male
50,4,5,3,5,3,1,2,4,1,1,"Thu, Tue, Sun, Wed","[177, 230, 821]",8.8,Phuket,Australia,English,Female
51,4,4,5,1,5,2,1,2,3,4,"Sat, Thu, Tue, Wed, Mon",[829],7.3,Ayutthaya,Thai,"Thai, English",Other
52,5,2,4,1,2,1,4,4,3,5,"Fri, Mon, Thu","[889, 867, 288, 581, 73]",7.3,Hat Yai,Sweden,"Swedish, English",Other
53,3,4,3,1,1,2,4,5,1,3,"Wed, Fri, Tue","[341, 271, 436]",7.7,Nakhon Si Thammarat,Thai,"Thai, English",Male
54,5,5,4,4,1,2,3,4,3,2,"Mon, Sun","[155, 676]",2.4,Surat Thani,USA,English,Prefer not to say
55,1,5,3,4,2,4,2,5,5,5,"Thu, Fri, Tue",[952],8.9,Nakhon Si Thammarat,Russia,"Russian, English",Other
56,5,3,1,5,4,5,2,3,5,1,"Thu, Wed, Fri, Mon","[24, 900, 638, 537, 338]",3.4,Ratchaburi,India,"Hindi, English",Male
57,5,2,4,3,5,5,4,3,3,3,"Tue, Mon, Sat","[810, 96, 327, 695, 557]",2.0,Udon Thani,Thai,"Thai, English",Male
58,5,4,3,2,5,2,1,4,3,2,"Wed, Tue, Thu","[661, 957, 174, 270, 777]",4.2,Pattaya,Canada,"English, French",Other
59,1,2,3,1,1,4,5,3,5,3,"Sat, Mon","[49, 745]",9.0,Phuket,France,"French, English",Other
60,4,5,3,4,4,1,3,3,1,4,"Sun, Tue","[963, 822, 451]",2.6,Rayong,UK,English,Male
61,5,2,2,5,4,4,5,5,5,2,"Tue, Mon","[744, 116]",1.9,Hat Yai,India,"Hindi, English",Prefer not to say
62,5,2,4,2,4,5,3,5,1,2,"Mon, Sat, Fri","[455, 746, 400, 531]",5.7,Phuket,Japan,"Japanese, English",Prefer not to say
63,1,2,3,5,1,3,5,2,2,5,"Thu, Sun","[485, 504, 473, 136]",7.6,Bangkok,Brazil,"Portuguese, English",Prefer not to say
64,2,4,3,2,1,3,2,2,3,5,"Wed, Sun, Tue, Mon","[211, 382, 551]",1.3,Khon Kaen,Spain,"Spanish, English",Female
65,5,1,5,2,5,3,4,5,2,4,"Thu, Wed, Sat",[723],3.9,Lampang,Japan,"Japanese, English",Prefer not to say
66,3,4,2,3,5,4,1,3,4,3,"Tue, Sat, Mon","[760, 669, 160]",4.2,Chonburi,Thai,"Thai, English",Prefer not to say
67,1,2,4,2,3,3,5,4,3,1,"Thu, Sun, Tue, Sat, Mon","[203, 388, 230]",1.5,Udon Thani,India,"Hindi, English",Male
68,4,4,3,4,3,5,4,3,2,2,"Fri, Mon, Tue, Wed","[10, 619, 481, 685]",6.4,Chonburi,China,"Mandarin, English",Prefer not to say
69,4,1,5,5,2,5,4,1,1,4,"Fri, Sat, Sun, Mon, Tue","[5, 358, 501, 477]",4.4,Nakhon Ratchasima,Germany,"German, English",Other
70,5,4,5,3,1,2,2,2,2,4,"Mon, Sun",[1000],6.7,Bangkok,Brazil,"Portuguese, English",Prefer not to say
71,1,1,1,1,2,1,1,3,3,3,"Sun, Sat","[17, 353]",6.6,Khon Kaen,Spain,"Spanish, English",Female
72,2,3,1,3,1,5,4,4,1,5,"Wed, Sun","[514, 52, 727, 19]",1.9,Khon Kaen,Germany,"German, English",Male
73,2,3,5,5,4,2,1,5,3,3,"Sun, Thu, Fri, Mon, Sat",[694],2.6,Ratchaburi,Netherlands,"Dutch, English",Female
74,3,2,4,4,1,5,4,3,5,5,"Mon, Wed, Tue, Fri","[737, 749, 798, 354, 268]",5.0,Chonburi,Australia,English,Prefer not to say
75,3,3,4,2,3,3,5,4,4,3,"Thu, Sat, Sun","[312, 437, 344]",2.8,Udon Thani,China,"Mandarin, English",Prefer not to say
76,2,2,4,3,5,1,4,3,4,1,"Sun, Sat, Mon, Thu, Fri","[360, 681, 267, 2]",8.0,Nakhon Ratchasima,USA,English,Prefer not to say
77,3,2,4,2,4,2,5,2,2,5,"Sun, Fri, Mon","[100, 72, 36, 359, 3]",3.2,Chonburi,Sweden,"Swedish, English",Male
78,4,4,2,5,1,5,4,5,1,4,"Sat, Mon, Fri",[388],3.6,Nakhon Ratchasima,Germany,"German, English",Prefer not to say
79,4,4,2,2,5,4,2,4,5,4,"Thu, Wed","[568, 296]",4.8,Hat Yai,France,"French, English",Female
80,2,4,3,1,4,5,3,4,5,4,"Tue, Fri, Wed, Sat","[206, 15, 397, 496, 471]",6.0,Nakhon Ratchasima,China,"Mandarin, English",Male
81,1,1,2,3,3,4,2,1,3,4,"Sun, Mon","[329, 175, 436]",7.6,Lampang,UK,English,Other
82,1,2,4,1,5,3,2,3,1,5,"Mon, Sun, Wed, Tue","[488, 958]",6.2,Bangkok,Thai,"Thai, English",Other
83,5,4,4,4,4,3,2,1,5,4,"Sat, Sun","[367, 294, 309]",4.7,Phuket,Russia,"Russian, English",Prefer not to say
84,2,4,5,5,4,5,3,5,2,5,"Thu, Fri, Wed, Mon",[657],1.3,Samut Prakan,Thai,"Thai, English",Male
85,4,5,5,5,3,5,1,3,2,1,"Mon, Sat, Fri, Sun","[281, 534, 861]",7.4,Ratchaburi,France,"French, English",Other
86,2,5,3,2,1,2,5,1,1,2,"Sat, Sun, Tue, Fri","[606, 203, 262]",1.9,Rayong,Russia,"Russian, English",Female
87,1,1,1,4,4,3,1,3,3,4,"Fri, Tue, Sat, Sun, Wed","[358, 979, 883, 943]",5.9,Pattaya,Brazil,"Portuguese, English",Prefer not to say
88,5,5,2,5,5,4,1,4,1,3,"Tue, Fri, Thu, Sat, Wed",[164],2.0,Nakhon Si Thammarat,Brazil,"Portuguese, English",Other
89,5,2,2,5,2,5,4,2,2,1,"Mon, Sat","[416, 829, 459]",8.2,Nakhon Ratchasima,Brazil,"Portuguese, English",Other
90,5,3,4,1,1,2,3,2,5,1,"Mon, Tue, Sun","[324, 698, 6, 768]",5.0,Nakhon Ratchasima,Germany,"German, English",Other
91,4,2,5,4,3,4,4,2,2,5,"Sat, Fri","[166, 609, 690]",6.9,Chonburi,Germany,"German, English",Female
92,3,2,5,2,5,2,4,4,3,5,"Thu, Tue, Mon, Wed, Sat","[370, 254, 772, 565]",5.0,Hat Yai,Canada,"English, French",Other
93,4,1,1,2,1,4,3,4,5,4,"Fri, Sat, Sun, Tue","[728, 809]",1.2,Pattaya,USA,English,Prefer not to say
94,1,3,5,2,5,1,3,4,1,5,"Fri, Sun, Tue, Thu","[632, 104, 197]",8.4,Khon Kaen,Japan,"Japanese, English",Female
95,5,4,2,1,4,3,2,2,3,5,"Sun, Wed, Sat, Thu","[103, 858, 860, 352]",4.3,Lampang,France,"French, English",Prefer not to say
96,1,4,2,2,4,4,4,3,4,3,"Sun, Fri, Tue, Sat",[504],5.9,Chonburi,USA,English,Male
97,5,3,4,2,3,4,2,5,4,4,"Mon, Sun, Wed, Fri",[75],5.1,Lampang,UK,English,Prefer not to say
98,4,5,2,3,5,5,5,3,4,4,"Sun, Sat, Tue, Wed",[446],8.5,Nakhon Ratchasima,South Korea,"Korean, English",Other
99,4,2,2,3,2,1,5,5,2,5,"Wed, Mon, Tue, Thu","[448, 59]",4.4,Udon Thani,Sweden,"Swedish, English",Male
100,4,1,1,3,4,4,4,5,3,2,"Sat, Tue, Thu, Wed, Fri","[442, 586, 743, 531, 965]",7.8,Khon Kaen,Thai,"Thai, English",Prefer not to say
101,4,3,2,5,2,4,1,4,4,4,"Fri, Thu, Mon","[445, 243]",3.5,Khon Kaen,Netherlands,"Dutch, English",Other
102,1,4,5,1,1,1,5,4,2,1,"Sun, Thu, Sat, Fri, Tue","[138, 244, 484]",2.8,Udon Thani,France,"French, English",Male
103,5,1,2,4,2,4,4,2,4,4,"Wed, Tue, Mon, Sat","[93, 754, 178, 197, 431]",2.9,Bangkok,India,"Hindi, English",Male
104,3,2,3,5,4,2,3,2,4,2,"Thu, Fri, Sun","[394, 107, 619]",6.6,Hat Yai,Canada,"English, French",Prefer not to say
105,4,3,4,2,3,5,1,1,2,4,"Tue, Fri","[986, 195, 96, 449, 779]",2.8,Samut Prakan,Germany,"German, English",Male
106,3,5,3,5,2,5,2,1,5,3,"Mon, Sun, Tue, Sat, Fri","[772, 683, 75]",4.8,Phuket,Canada,"English, French",Prefer not to say
107,4,4,5,2,5,3,4,3,5,3,"Wed, Tue","[508, 711, 963]",5.8,Rayong,South Korea,"Korean, English",Other
108,1,4,3,4,5,4,3,5,4,1,"Tue, Fri","[514, 122, 384]",8.6,Samut Prakan,Russia,"Russian, English",Male
109,1,2,1,5,3,3,1,2,5,1,"Fri, Mon","[685, 746]",9.8,Bangkok,Japan,"Japanese, English",Female
110,5,1,2,1,5,5,1,4,3,2,"Thu, Wed, Mon, Tue","[332, 985, 481, 279]",6.9,Nakhon Ratchasima,Sweden,"Swedish, English",Prefer not to say
111,5,3,4,2,3,2,5,5,5,5,"Fri, Wed","[574, 214, 564]",5.4,Pattaya,Thai,"Thai, English",Prefer not to say
112,5,2,2,2,4,1,2,3,1,2,"Thu, Fri, Tue, Wed, Mon","[286, 660]",7.1,Ratchaburi,Germany,"German, English",Prefer not to say
113,4,5,4,5,5,3,5,4,5,4,"Mon, Sat, Thu, Wed","[373, 776, 952]",6.3,Nakhon Ratchasima,Germany,"German, English",Other
114,2,3,1,3,5,4,3,3,1,4,"Thu, Sat",[249],8.7,Hat Yai,USA,English,Male
115,1,5,2,2,1,3,1,1,4,4,"Thu, Sat",[674],3.2,Udon Thani,Spain,"Spanish, English",Female
116,5,3,4,5,2,4,2,4,2,4,"Fri, Sun, Mon","[268, 886, 722, 517]",6.6,Ratchaburi,Sweden,"Swedish, English",Other
117,1,1,1,3,2,2,4,5,4,4,"Fri, Sat, Mon, Wed, Thu","[150, 132]",5.8,Rayong,Germany,"German, English",Prefer not to say
118,3,1,3,1,5,2,5,2,2,4,"Tue, Mon, Wed, Fri","[436, 105, 270, 517, 667]",5.9,Ayutthaya,Japan,"Japanese, English",Prefer not to say
119,1,4,1,5,5,2,4,2,1,4,"Tue, Thu, Sat","[88, 314, 508, 18]",5.8,Phuket,Thai,"Thai, English",Prefer not to say
120,3,1,3,1,1,2,5,4,3,2,"Sat, Wed, Tue",[518],8.6,Lampang,Canada,"English, French",Other
121,5,1,4,4,1,3,4,5,3,5,"Tue, Wed, Fri","[859, 970, 671, 990, 326]",3.3,Samut Prakan,Russia,"Russian, English",Prefer not to say
122,4,2,5,5,5,4,1,5,2,1,"Sun, Thu","[362, 342, 130]",8.1,Chiang Mai,Germany,"German, English",Prefer not to say
123,5,5,1,2,2,3,4,2,5,3,"Sat, Mon, Fri, Tue","[121, 32, 133, 262]",3.0,Udon Thani,Spain,"Spanish, English",Prefer not to say
124,3,5,2,3,3,4,3,4,1,2,"Tue, Mon, Sun, Wed, Fri",[98],1.0,Ayutthaya,Australia,English,Male
125,3,3,1,2,2,1,2,2,4,4,"Mon, Tue","[148, 681, 360, 534]",3.4,Ayutthaya,Sweden,"Swedish, English",Female
126,2,4,1,3,4,3,5,4,2,2,"Mon, Wed, Fri, Tue, Thu","[662, 47, 532, 85, 643]",5.0,Nakhon Ratchasima,Brazil,"Portuguese, English",Male
127,2,1,1,3,3,5,4,2,1,4,"Sat, Fri, Wed, Sun","[600, 12, 849, 561, 379]",1.5,Lampang,South Korea,"Korean, English",Female
128,3,4,5,2,5,5,1,1,3,3,"Sun, Sat, Thu, Fri","[42, 132, 441, 852, 973]",9.0,Rayong,Brazil,"Portuguese, English",Other
129,5,3,1,4,3,2,2,3,4,1,"Mon, Fri, Sun","[590, 996, 624, 923]",8.2,Pattaya,Germany,"German, English",Prefer not to say
130,3,2,2,2,3,5,5,2,1,3,"Mon, Sun, Wed, Tue","[63, 743, 626]",3.2,Hat Yai,France,"French, English",Other
131,2,1,1,4,1,2,1,3,2,1,"Sun, Thu",[834],1.3,Bangkok,Sweden,"Swedish, English",Male
132,3,2,5,5,3,5,5,1,4,1,"Mon, Tue, Sat, Sun, Thu","[775, 709, 50, 831, 298]",4.1,Phuket,India,"Hindi, English",Prefer not to say
133,3,5,2,3,5,3,5,3,5,4,"Tue, Sun, Thu, Wed","[909, 139, 430, 129, 143]",9.8,Ratchaburi,Netherlands,"Dutch, English",Male
134,1,1,4,5,5,4,4,4,2,5,"Wed, Tue","[6, 718, 525]",6.1,Ratchaburi,India,"Hindi, English",Female
135,5,5,3,1,1,5,5,2,3,3,"Mon, Wed, Thu","[437, 936, 140, 763, 708]",2.3,Nakhon Si Thammarat,USA,English,Female
136,2,2,2,2,1,3,1,2,4,4,"Fri, Sun","[302, 224, 25]",2.4,Udon Thani,Brazil,"Portuguese, English",Other
137,5,2,1,1,5,3,4,1,4,3,"Fri, Wed, Sat, Mon, Tue","[191, 683, 187]",4.9,Ayutthaya,Sweden,"Swedish, English",Female
138,3,2,3,1,2,2,3,5,5,3,"Sat, Mon, Wed","[427, 151, 456]",2.2,Lampang,China,"Mandarin, English",Male
139,4,3,2,4,3,1,5,2,1,4,"Wed, Thu, Sun, Fri, Sat","[169, 856, 342, 362, 422]",3.1,Rayong,China,"Mandarin, English",Prefer not to say
140,5,3,3,1,3,1,4,5,4,5,"Sun, Tue, Mon, Thu, Fri","[511, 409, 676, 460, 660]",5.4,Nakhon Si Thammarat,Spain,"Spanish, English",Prefer not to say
141,4,3,4,3,2,5,2,5,1,3,"Wed, Sat, Thu, Tue, Mon",[10],3.0,Lampang,Netherlands,"Dutch, English",Other
142,2,2,2,5,3,2,3,4,3,5,"Mon, Fri",[284],4.7,Pattaya,Russia,"Russian, English",Male
143,3,4,3,3,1,4,3,2,1,1,"Wed, Sat",[438],2.1,Nakhon Si Thammarat,Brazil,"Portuguese, English",Male
144,2,5,1,5,2,3,1,2,2,3,"Sat, Wed, Fri, Mon, Tue",[305],9.2,Nakhon Si Thammarat,USA,English,Female
145,4,5,2,4,4,4,4,2,3,3,"Fri, Sun","[690, 279]",3.1,Udon Thani,Australia,English,Female
146,1,4,2,4,2,4,3,3,2,3,"Mon, Thu, Tue, Wed, Sun",[652],5.7,Udon Thani,USA,English,Female
147,3,1,3,3,3,3,2,4,3,4,"Tue, Fri","[907, 964, 363]",6.9,Nakhon Si Thammarat,Australia,English,Other
148,2,4,4,5,2,1,4,5,1,3,"Sun, Thu, Tue, Mon, Sat","[84, 584, 405, 927, 529]",3.8,Chonburi,Thai,"Thai, English",Female
149,5,1,3,5,2,2,4,1,4,3,"Tue, Mon, Fri, Thu, Sat","[558, 4, 567]",2.0,Khon Kaen,India,"Hindi, English",Female
150,4,2,3,4,3,3,4,1,3,4,"Sat, Sun","[446, 892]",8.3,Nakhon Ratchasima,China,"Mandarin, English",Female
151,2,4,5,3,5,1,4,3,5,5,"Fri, Sun","[393, 998, 765]",3.7,Bangkok,China,"Mandarin, English",Male
152,3,5,4,3,2,3,3,1,5,1,"Sun, Mon, Tue, Sat",[143],3.5,Lampang,Spain,"Spanish, English",Female
153,1,3,3,3,2,2,2,4,4,4,"Sat, Sun","[763, 889, 307, 227, 758]",2.4,Chiang Mai,South Korea,"Korean, English",Other
154,3,2,1,1,3,4,3,3,4,3,"Mon, Fri",[950],2.9,Phuket,Sweden,"Swedish, English",Prefer not to say
155,1,2,4,1,4,3,5,3,1,4,"Sat, Sun",[169],2.3,Phuket,Russia,"Russian, English",Male
156,4,3,5,3,1,1,4,1,3,1,"Tue, Mon, Sat, Fri, Thu","[569, 591, 153]",9.4,Nakhon Si Thammarat,China,"Mandarin, English",Male
157,2,2,5,5,1,2,4,5,4,4,"Wed, Mon","[304, 628, 2, 662]",9.1,Udon Thani,India,"Hindi, English",Other
158,3,2,2,3,5,5,2,1,2,1,"Sat, Tue, Mon, Wed",[579],6.4,Nakhon Ratchasima,Sweden,"Swedish, English",Other
159,4,1,3,4,2,4,1,5,2,3,"Sat, Wed","[552, 236, 506, 727, 836]",4.7,Nakhon Si Thammarat,Russia,"Russian, English",Other
160,3,4,4,1,5,1,2,1,4,5,"Tue, Fri, Sat, Thu","[718, 995, 113, 262]",6.2,Phuket,Russia,"Russian, English",Prefer not to say
161,5,4,5,4,1,4,3,2,4,1,"Wed, Tue, Sat, Sun, Mon","[600, 235, 29, 773]",3.8,Lampang,Sweden,"Swedish, English",Female
162,5,2,4,4,4,1,3,3,5,4,"Sat, Sun","[258, 89]",5.9,Phuket,Netherlands,"Dutch, English",Male
163,5,4,1,2,2,2,5,3,5,4,"Tue, Wed, Mon, Fri, Thu","[416, 339, 926]",5.6,Phuket,China,"Mandarin, English",Prefer not to say
164,3,2,4,5,3,2,2,3,5,3,"Thu, Sat, Mon, Fri, Tue","[827, 222, 190, 878, 444]",9.9,Udon Thani,Japan,"Japanese, English",Male
165,2,2,1,1,2,4,4,3,4,2,"Wed, Mon, Thu","[601, 574, 966, 658]",9.6,Hat Yai,Netherlands,"Dutch, English",Female
166,3,1,1,1,4,5,2,4,4,3,"Thu, Wed, Fri, Tue, Mon",[645],5.8,Rayong,China,"Mandarin, English",Female
167,3,1,3,5,2,1,4,2,3,2,"Mon, Fri, Sat, Thu","[29, 597, 152, 145]",4.7,Bangkok,USA,English,Other
168,5,2,4,2,2,5,3,5,5,5,"Thu, Sat, Wed, Sun, Tue","[523, 744, 660, 18]",3.5,Lampang,Canada,"English, French",Female
169,4,4,3,1,4,5,2,5,3,1,"Sun, Wed, Sat, Mon, Thu","[473, 50, 276, 759]",8.2,Bangkok,Sweden,"Swedish, English",Male
170,2,3,3,2,1,5,2,1,5,4,"Fri, Wed, Sat, Tue","[295, 180, 884, 71, 367]",7.7,Ayutthaya,Thai,"Thai, English",Other
171,5,4,3,4,1,2,1,4,5,3,"Sun, Tue, Thu, Fri, Sat","[336, 53, 845]",3.2,Pattaya,USA,English,Other
172,4,5,3,2,3,4,5,2,3,3,"Wed, Fri","[100, 745, 665, 528]",2.4,Chiang Mai,China,"Mandarin, English",Male
173,4,4,1,1,3,1,1,1,3,5,"Thu, Sat, Mon, Sun",[77],9.6,Phuket,China,"Mandarin, English",Male
174,2,1,3,5,2,1,3,2,1,4,"Tue, Fri, Sat, Sun, Mon","[309, 554]",5.4,Chonburi,Brazil,"Portuguese, English",Prefer not to say
175,3,5,2,2,5,5,4,1,2,4,"Wed, Sun, Tue, Sat","[390, 259]",5.4,Rayong,Sweden,"Swedish, English",Female
176,1,3,5,5,1,4,5,4,2,1,"Fri, Tue, Sat, Wed, Thu",[503],9.1,Ayutthaya,Australia,English,Other
177,2,5,2,3,1,2,4,2,5,5,"Mon, Sat","[988, 782, 683]",9.7,Chonburi,Spain,"Spanish, English",Other
178,5,1,5,1,1,2,4,2,5,5,"Wed, Mon",[423],2.6,Ayutthaya,Japan,"Japanese, English",Prefer not to say
179,5,2,2,3,2,1,3,4,3,4,"Sat, Sun",[367],1.9,Bangkok,South Korea,"Korean, English",Prefer not to say
180,3,2,2,3,3,3,1,3,2,2,"Sat, Thu, Fri",[446],8.6,Phuket,Brazil,"Portuguese, English",Prefer not to say
181,2,4,2,4,5,4,4,5,2,5,"Mon, Tue, Sun, Sat","[336, 352, 704, 423]",7.6,Chonburi,Germany,"German, English",Male
182,3,4,5,2,5,1,1,3,2,3,"Sun, Fri, Tue, Mon, Thu","[3, 334, 198, 816]",4.0,Surat Thani,UK,English,Female
183,3,5,5,1,5,2,2,5,2,3,"Thu, Fri",[860],7.8,Nakhon Ratchasima,Russia,"Russian, English",Other
184,2,3,3,4,5,3,4,5,2,2,"Fri, Sun, Tue, Mon","[973, 699, 402, 6]",6.1,Udon Thani,Australia,English,Other
185,2,2,3,4,5,3,2,3,1,2,"Wed, Sat, Tue","[475, 645, 69, 672, 573]",6.2,Hat Yai,Australia,English,Female
186,3,3,5,2,4,3,3,3,5,5,"Tue, Thu","[495, 335, 651, 863]",4.7,Rayong,Australia,English,Male
187,1,4,3,2,3,3,1,1,3,4,"Tue, Thu, Wed, Sun","[722, 914, 623, 965, 148]",6.1,Bangkok,Netherlands,"Dutch, English",Male
188,1,3,2,5,2,1,1,1,1,5,"Fri, Mon, Tue","[505, 91, 553, 938]",3.3,Lampang,Netherlands,"Dutch, English",Prefer not to say
189,2,5,3,2,1,2,4,4,4,3,"Sat, Thu, Sun, Wed","[12, 210, 932, 161]",1.4,Bangkok,Sweden,"Swedish, English",Other
